;R;D100;C100;D50;C50
86;0.17373737373737372;-6.597186963028988e-07;0.4484477887153368;-2.2719699816629997e-12;0.4817197694738789
87;0.17575757575757578;-4.965504042632802e-07;0.4424820275707169;-2.173727018145322e-12;0.4757831092425865
88;0.17777777777777778;-3.782730912548801e-07;0.436714609954217;-2.086110835670447e-12;0.4699916826465225
89;0.17979797979797982;-2.8226826670389667e-07;0.4311191790112467;-2.002873427274698e-12;0.4643861034529857
90;0.18181818181818182;-2.1368803229595875e-07;0.4254072208450852;-1.926825752982093e-12;0.4587333043564822
91;0.18383838383838383;-1.5946302738747675e-07;0.41993054395746743;-1.855625982731039e-12;0.45323916292073063
92;0.1858585858585859;-1.211242464090261e-07;0.41442319293871477;-1.7890758419201958e-12;0.4477251968311728
93;0.1878787878787879;-9.202695771203101e-08;0.40905755546053646;-1.726714816874465e-12;0.4423699923141821
94;0.1898989898989899;-7.029379352425234e-08;0.4038577438122818;-1.6684284344828063e-12;0.43718450633097683
95;0.1919191919191919;-5.4566838699212175e-08;0.39862735741464866;-1.6128111669585905e-12;0.4319549984665007
96;0.19393939393939397;-4.2343331985090735e-08;0.39354068356563005;-1.561974091728465e-12;0.42685488372737546
97;0.19595959595959597;-3.334004001312974e-08;0.38839328896168884;-1.5131316796510296e-12;0.4216606066906636
98;0.197979797979798;-2.607480495052138e-08;0.3835354300514226;-1.4672782129869329e-12;0.41680501204587167
99;0.2;-2.0827654929028227e-08;0.378528502751152;-1.423106363754722e-12;0.4117718477103968
